mkt_ccode,dep_airport,cancel_code,arr_airport,day_week_name,month__name,route,mkt_fl_no,date,dep_delay_time_actual,arr_delay_time_actual,mins_late_delay_code_e_carrier,mins_late_delay_code_f_weather,mins_late_delay_code_g_nas,mins_late_delay_code_h_security,mins_late_delay_code_i_late_arr_flight,delay
DL,EWR,0,ATL,Wed,May,EWR-ATL,1189,5/18/22,-4,-20,0,0,0,0,0,0
DL,CHO,0,LGA,Sun,Apr,CHO-LGA,5150,4/10/22,-5,-2,0,0,0,0,0,0
DL,DCA,0,JFK,Sun,May,DCA-JFK,5710,5/15/22,16,9,0,0,0,0,0,1
DL,MSY,0,LGA,Thu,Feb,MSY-LGA,5663,2/24/22,5,-8,0,0,0,0,0,0
DL,SLC,0,RNO,Wed,Jul,SLC-RNO,3653,7/20/22,-1,-8,0,0,0,0,0,0
DL,JFK,0,MSY,Tue,Apr,JFK-MSY,2957,4/12/22,-3,-31,0,0,0,0,0,0
DL,CHO,0,LGA,Thu,Jun,CHO-LGA,5359,6/23/22,0,-13,0,0,0,0,0,0
DL,MCO,0,SLC,Sat,Jun,MCO-SLC,1023,6/18/22,27,19,0,0,0,0,19,1
DL,JFK,0,JAX,Tue,Mar,JFK-JAX,5747,3/8/22,-3,173,0,0,0,0,0,1
DL,ATL,0,PNS,Sat,Apr,ATL-PNS,2650,4/9/22,4,-4,0,0,0,0,0,0
DL,BOS,0,SFO,Thu,Aug,BOS-SFO,346,8/11/22,-4,-12,0,0,0,0,0,0
DL,IAD,0,MSP,Fri,Sep,IAD-MSP,3626,9/16/22,-8,-15,0,0,0,0,0,0
DL,CHA,0,ATL,Wed,Jul,CHA-ATL,2079,7/20/22,-2,-6,0,0,0,0,0,0
DL,DTW,0,MCI,Mon,Jun,DTW-MCI,1508,6/27/22,0,4,0,0,0,0,0,1
DL,LGA,0,IND,Sat,Mar,LGA-IND,5645,3/19/22,58,39,39,0,0,0,0,1
DL,PDX,0,ATL,Fri,Sep,PDX-ATL,841,9/9/22,-2,-16,0,0,0,0,0,0
DL,ATL,0,MCO,Mon,May,ATL-MCO,2830,5/23/22,1,-11,0,0,0,0,0,0
DL,IND,0,ATL,Sat,Apr,IND-ATL,2364,4/23/22,-3,-18,0,0,0,0,0,0
DL,TPA,0,LGA,Thu,Mar,TPA-LGA,677,3/10/22,210,191,0,0,0,0,191,1
DL,DTW,0,CLT,Tue,Aug,DTW-CLT,1299,8/2/22,-2,-8,0,0,0,0,0,0
DL,SLC,0,ORD,Wed,Mar,SLC-ORD,1361,3/30/22,-2,5,0,0,0,0,0,1
DL,CLT,0,JFK,Tue,Jan,CLT-JFK,5293,1/11/22,-12,-16,0,0,0,0,0,0
DL,ORD,0,MSP,Wed,Sep,ORD-MSP,2797,9/7/22,-7,-22,0,0,0,0,0,0
DL,ATL,0,LGA,Sun,Mar,ATL-LGA,366,3/27/22,61,59,0,0,33,0,26,1
DL,JFK,0,CHS,Mon,Jun,JFK-CHS,5226,6/20/22,2,-28,0,0,0,0,0,0
DL,MSP,0,SNA,Fri,Aug,MSP-SNA,1146,8/5/22,-4,-22,0,0,0,0,0,0
DL,JFK,0,MSP,Mon,Mar,JFK-MSP,4649,3/14/22,-2,1,0,0,0,0,0,1
DL,PIT,B,LGA,Fri,May,PIT-LGA,5416,5/27/22,0,0,0,0,0,0,0,0
DL,LAS,0,SLC,Mon,Jun,LAS-SLC,1587,6/6/22,-7,-14,0,0,0,0,0,0
DL,ATL,0,FWA,Mon,Aug,ATL-FWA,3596,8/1/22,34,22,22,0,0,0,0,1
DL,ORF,0,DTW,Wed,May,ORF-DTW,4059,5/11/22,0,-6,0,0,0,0,0,0
DL,LGA,0,CLE,Thu,Jul,LGA-CLE,4950,7/7/22,-6,-10,0,0,0,0,0,0
DL,LAS,0,ATL,Sat,Jul,LAS-ATL,660,7/23/22,4,44,0,0,44,0,0,1
DL,BUF,0,DTW,Sat,Jul,BUF-DTW,1673,7/2/22,-5,-21,0,0,0,0,0,0
DL,DTW,0,SYR,Tue,May,DTW-SYR,4170,5/3/22,5,-4,0,0,0,0,0,0
DL,ATL,0,ALB,Mon,Sep,ATL-ALB,1054,9/12/22,-1,-10,0,0,0,0,0,0
DL,LGA,0,PIT,Sun,Jan,LGA-PIT,5703,1/9/22,-8,-8,0,0,0,0,0,0
DL,DTW,0,APN,Thu,Apr,DTW-APN,4252,4/21/22,-7,1,0,0,0,0,0,1
DL,RSW,0,MSP,Fri,Jan,RSW-MSP,1206,1/21/22,-4,18,0,0,18,0,0,1
DL,LGA,0,GSO,Mon,Jan,LGA-GSO,4976,1/17/22,-5,27,0,0,27,0,0,1
DL,MSP,0,DCA,Wed,Feb,MSP-DCA,2289,2/23/22,0,-26,0,0,0,0,0,0
DL,SJC,0,SEA,Sat,Jan,SJC-SEA,3748,1/29/22,-5,-31,0,0,0,0,0,0
DL,MLU,0,ATL,Fri,Jun,MLU-ATL,4740,6/10/22,142,166,114,0,24,0,28,1
DL,CLE,0,ATL,Fri,Feb,CLE-ATL,1444,2/25/22,2,38,0,0,38,0,0,1
DL,ATL,0,TYS,Mon,Jun,ATL-TYS,4919,6/27/22,51,39,0,39,0,0,0,1
DL,ATL,0,GRB,Sun,Jul,ATL-GRB,2164,7/3/22,-3,24,0,0,24,0,0,1
DL,ABE,0,DTW,Sat,Jul,ABE-DTW,4163,7/16/22,-5,-20,0,0,0,0,0,0
DL,ONT,0,ATL,Mon,Aug,ONT-ATL,740,8/8/22,-7,-12,0,0,0,0,0,0
DL,SEA,0,MSP,Sun,Aug,SEA-MSP,755,8/14/22,0,-14,0,0,0,0,0,0
DL,ATL,0,FLL,Sat,Apr,ATL-FLL,2516,4/16/22,159,165,12,0,6,0,147,1
DL,LAX,0,MSP,Thu,Jul,LAX-MSP,2198,7/21/22,4,-1,0,0,0,0,0,0
DL,CVG,0,ATL,Sat,Jun,CVG-ATL,2578,6/11/22,-2,-22,0,0,0,0,0,0
DL,SLC,0,DEN,Sun,Aug,SLC-DEN,2835,8/14/22,-9,-2,0,0,0,0,0,0
DL,MKE,0,MSP,Mon,Jan,MKE-MSP,4481,1/10/22,168,167,167,0,0,0,0,1
DL,SEA,0,PSC,Thu,May,SEA-PSC,3655,5/26/22,-2,0,0,0,0,0,0,0
DL,SLC,0,TWF,Sat,May,SLC-TWF,4234,5/14/22,0,-9,0,0,0,0,0,0
DL,ATL,0,PBI,Fri,Feb,ATL-PBI,2145,2/11/22,-2,-7,0,0,0,0,0,0
DL,BOS,0,SEA,Sat,Jul,BOS-SEA,320,7/30/22,-3,-25,0,0,0,0,0,0
DL,HSV,0,ATL,Wed,May,HSV-ATL,2836,5/11/22,-8,-27,0,0,0,0,0,0
DL,MSP,0,ORD,Fri,Apr,MSP-ORD,1233,4/8/22,13,4,0,0,0,0,0,1
DL,GPT,0,ATL,Sun,Jun,GPT-ATL,2669,6/19/22,-5,-7,0,0,0,0,0,0
DL,BIL,0,MSP,Fri,Jul,BIL-MSP,1151,7/8/22,1,-5,0,0,0,0,0,0
DL,SLC,0,AUS,Tue,May,SLC-AUS,1388,5/10/22,-1,4,0,0,0,0,0,1
DL,ATL,0,DSM,Thu,Sep,ATL-DSM,1631,9/8/22,-2,-20,0,0,0,0,0,0
DL,ATL,0,JAN,Mon,Mar,ATL-JAN,1342,3/28/22,-2,-12,0,0,0,0,0,0
DL,GRR,0,MSP,Tue,Sep,GRR-MSP,2610,9/6/22,-6,-16,0,0,0,0,0,0
DL,LGA,0,BOS,Mon,Feb,LGA-BOS,5790,2/14/22,51,34,34,0,0,0,0,1
DL,ELP,0,ATL,Sun,Sep,ELP-ATL,761,9/11/22,-7,-14,0,0,0,0,0,0
DL,SMF,0,LAX,Tue,Feb,SMF-LAX,4048,2/22/22,-4,-2,0,0,0,0,0,0
DL,ORD,0,LGA,Mon,Apr,ORD-LGA,512,4/4/22,-3,-11,0,0,0,0,0,0
DL,MSP,0,EWR,Sun,Sep,MSP-EWR,2606,9/11/22,-5,-14,0,0,0,0,0,0
DL,LAX,0,IND,Thu,Feb,LAX-IND,933,2/3/22,-4,5,0,0,0,0,0,1
DL,GEG,0,SLC,Fri,Feb,GEG-SLC,3875,2/4/22,-7,-20,0,0,0,0,0,0
DL,ELP,0,ATL,Tue,May,ELP-ATL,761,5/24/22,-6,9,0,0,0,0,0,1
DL,ATL,0,PIT,Sun,Feb,ATL-PIT,1683,2/6/22,2,-11,0,0,0,0,0,0
DL,LAS,0,LAX,Sun,Jul,LAS-LAX,2385,7/24/22,25,34,0,0,9,0,25,1
DL,DTW,0,STL,Tue,Jun,DTW-STL,3513,6/28/22,0,-9,0,0,0,0,0,0
DL,DCA,0,ATL,Mon,May,DCA-ATL,2327,5/30/22,-1,-17,0,0,0,0,0,0
DL,GRB,0,ATL,Mon,Jan,GRB-ATL,1421,1/31/22,-5,-32,0,0,0,0,0,0
DL,BHM,0,ATL,Fri,Jan,BHM-ATL,2328,1/21/22,-5,-18,0,0,0,0,0,0
DL,LGA,0,DCA,Tue,Sep,LGA-DCA,5738,9/20/22,-11,-15,0,0,0,0,0,0
DL,BOS,0,SAN,Thu,Aug,BOS-SAN,573,8/25/22,6,-7,0,0,0,0,0,0
DL,SAN,0,SEA,Wed,Jul,SAN-SEA,1413,7/13/22,-5,-29,0,0,0,0,0,0
DL,MSP,0,CVG,Wed,Jan,MSP-CVG,5331,1/12/22,-5,-19,0,0,0,0,0,0
DL,DTW,0,FLL,Fri,Sep,DTW-FLL,2999,9/16/22,14,16,4,0,2,0,10,1
DL,ATL,0,SFO,Fri,Aug,ATL-SFO,710,8/5/22,25,-6,0,0,0,0,0,0
DL,PBI,0,LGA,Sat,Aug,PBI-LGA,2691,8/13/22,-12,-12,0,0,0,0,0,0
DL,GEG,0,SEA,Mon,Sep,GEG-SEA,3605,9/26/22,-3,-14,0,0,0,0,0,0
DL,ATL,0,ILM,Fri,Jul,ATL-ILM,2498,7/15/22,-6,-7,0,0,0,0,0,0
DL,OAK,0,SLC,Wed,Jun,OAK-SLC,3926,6/1/22,-3,-12,0,0,0,0,0,0
DL,ATL,0,CAE,Tue,Apr,ATL-CAE,499,4/19/22,-4,-7,0,0,0,0,0,0
DL,DCA,0,ATL,Wed,Sep,DCA-ATL,395,9/14/22,2,7,0,0,0,0,0,1
DL,ATL,0,VPS,Mon,Jun,ATL-VPS,2893,6/13/22,12,4,0,0,0,0,0,1
DL,BOS,0,AUS,Wed,Jun,BOS-AUS,1181,6/1/22,22,16,13,0,0,0,3,1
DL,CHS,0,ATL,Sun,May,CHS-ATL,824,5/1/22,-2,-19,0,0,0,0,0,0
DL,ORD,0,JFK,Thu,Sep,ORD-JFK,5723,9/15/22,2,-5,0,0,0,0,0,0
DL,GSP,0,ATL,Thu,May,GSP-ATL,2716,5/19/22,-6,-21,0,0,0,0,0,0
DL,LAS,0,DTW,Fri,Feb,LAS-DTW,1043,2/25/22,4,-14,0,0,0,0,0,0
DL,SGU,0,SLC,Thu,Sep,SGU-SLC,4235,9/22/22,-12,-25,0,0,0,0,0,0
DL,HNL,0,SEA,Wed,Mar,HNL-SEA,440,3/16/22,-3,-29,0,0,0,0,0,0
DL,ORD,0,ATL,Sun,Jun,ORD-ATL,2825,6/26/22,-8,-22,0,0,0,0,0,0
DL,MSP,0,SAN,Fri,Sep,MSP-SAN,2969,9/30/22,-3,-21,0,0,0,0,0,0
DL,ATL,0,BWI,Thu,Jul,ATL-BWI,2379,7/21/22,158,154,57,0,0,0,97,1
DL,TPA,0,ATL,Sun,Mar,TPA-ATL,1532,3/13/22,15,16,0,0,1,0,15,1
DL,RSW,0,LGA,Tue,Jul,RSW-LGA,2469,7/26/22,10,8,0,0,0,0,0,1
DL,CAE,0,LGA,Tue,Jan,CAE-LGA,5434,1/25/22,-4,-27,0,0,0,0,0,0
DL,BOS,0,ORD,Mon,Jul,BOS-ORD,5684,7/25/22,30,55,0,0,25,0,30,1
DL,ATL,0,OKC,Mon,Jun,ATL-OKC,2395,6/6/22,86,75,0,0,0,0,75,1
DL,SLC,0,SAT,Sat,Mar,SLC-SAT,805,3/5/22,-4,-5,0,0,0,0,0,0
DL,ATL,0,CRW,Sat,Sep,ATL-CRW,4743,9/10/22,-6,-14,0,0,0,0,0,0
DL,JFK,0,CLT,Sun,Jul,JFK-CLT,5823,7/10/22,-2,-20,0,0,0,0,0,0
DL,DTW,0,ATL,Sun,Jan,DTW-ATL,441,1/23/22,12,13,0,0,0,0,0,1
DL,LGA,0,PIT,Thu,May,LGA-PIT,5649,5/12/22,-7,-24,0,0,0,0,0,0
DL,TPA,0,JFK,Thu,Mar,TPA-JFK,1635,3/17/22,8,-4,0,0,0,0,0,0
DL,SYR,0,LGA,Thu,Sep,SYR-LGA,5107,9/8/22,22,7,0,0,0,0,0,1
DL,DTW,0,BNA,Fri,Feb,DTW-BNA,3940,2/4/22,16,16,16,0,0,0,0,1
DL,MIA,0,ATL,Thu,Sep,MIA-ATL,2938,9/15/22,-13,-15,0,0,0,0,0,0
DL,AUS,0,JFK,Tue,Aug,AUS-JFK,659,8/2/22,6,-14,0,0,0,0,0,0
DL,BWI,0,ATL,Thu,Apr,BWI-ATL,985,4/14/22,-3,-14,0,0,0,0,0,0
DL,BIL,0,MSP,Mon,Jun,BIL-MSP,1151,6/20/22,-7,-13,0,0,0,0,0,0
DL,SAT,0,ATL,Tue,Feb,SAT-ATL,1593,2/8/22,71,89,71,0,18,0,0,1
DL,FCA,0,SLC,Wed,Mar,FCA-SLC,3822,3/23/22,-10,-19,0,0,0,0,0,0
